日,総稼働時間,定時内,残業時間,段替え時間,生産時間,違反時間
1,425.59666666666675,425.59666666666675,0.0,60,365.59666666666675,0
2,960.0061796536796,960.0,0.006179653679623698,120,840.0061796536796,0
3,959.9316666666666,959.9316666666666,0.0,90,869.9316666666666,0
4,960.104761904762,960.0,0.10476190476197189,90,870.104761904762,0
5,960.0,960.0,0.0,90,870.0,0
6,959.8844047619048,959.8844047619048,0.0,120,839.8844047619048,0
7,959.875,959.875,0.0,90,869.875,0
8,960.1464285714286,960.0,0.14642857142860066,90,870.1464285714286,0
9,960.0,960.0,0.0,90,870.0,0
10,960.047619047619,960.0,0.04761904761903679,90,870.047619047619,0
11,960.0416666666667,960.0,0.04166666666674246,120,840.0416666666667,0
12,961.8333333333334,960.0,1.8333333333333712,90,871.8333333333334,0
13,959.9589285714286,959.9589285714286,0.0,90,869.9589285714286,0
14,960.0375,960.0,0.03750000000002274,120,840.0375,0
15,960.0630952380952,960.0,0.06309523809522943,120,840.0630952380952,0
16,978.4583333333334,960.0,18.45833333333337,90,888.4583333333334,0
17,960.0380952380953,960.0,0.03809523809525217,120,840.0380952380953,0
18,959.9966666666667,959.9966666666667,0.0,120,839.9966666666667,0
19,968.8440476190477,960.0,8.844047619047728,150,818.8440476190477,0
20,915.3982142857144,915.3982142857144,0.0,150,765.3982142857144,0
