品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,101.0,41.0,170.0,0.0,66.0,14.0,4.0,122.0,170.0,180.0,8.0,0.0,1.0,68.0,94.0,0.0,22.0,119.0,0.0,0.0
K3092-274,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KB272-274,6.0,200.0,0.0,330.0,0.0,200.0,0.0,330.0,0.0,530.0,330.0,0.0,330.0,0.0,330.0,0.0,330.0,0.0,0.0,0.0
L2012-274,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0
L6202-274,800.0,400.0,0.0,600.0,200.0,0.0,400.0,0.0,200.0,0.0,0.0,400.0,0.0,200.0,0.0,400.0,0.0,0.0,0.0,0.0
L7052-274,5.0,0.0,330.0,0.0,660.0,330.0,0.0,0.0,330.0,0.0,330.0,0.0,330.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0
L7112-274,171.0,71.0,300.0,200.0,100.0,0.0,400.0,300.0,200.0,100.0,0.0,200.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
L8032-274,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LF062-274,7.0,330.0,220.0,110.0,0.0,330.0,220.0,110.0,0.0,330.0,220.0,110.0,0.0,220.0,110.0,0.0,220.0,110.0,0.0,0.0
